model,layer,patch,ctrl_mean,ctrl_std,adhd_mean,adhd_std,n_seeds
ExpB,1,16,0.0177931971848011,0.0027408208698034286,0.023246636614203453,0.002128894906491041,5
ExpB,1,17,0.01884276047348976,0.0028369619976729155,0.024591203778982162,0.0023648624774068594,5
ExpB,1,18,0.02244417555630207,0.0075211478397250175,0.027874460443854332,0.006013014353811741,5
ExpB,1,19,0.02423463948071003,0.009856942109763622,0.031221285462379456,0.006691912654787302,5
ExpB,1,20,0.07267872989177704,0.060111939907073975,0.05909232050180435,0.03221600875258446,5
ExpB,1,21,0.03960803151130676,0.020685194060206413,0.043825723230838776,0.013225496746599674,5
ExpB,1,22,0.03565659373998642,0.01286054216325283,0.04809143394231796,0.008537452667951584,5
ExpB,1,23,0.1771693378686905,0.04051573574542999,0.1277700662612915,0.026235701516270638,5
ExpC,0,0,0.09560765326023102,0.02398434281349182,0.09563352167606354,0.02422766014933586,5
ExpC,0,1,0.08654983341693878,0.033431217074394226,0.08620591461658478,0.03356935456395149,5
ExpC,0,2,0.04283938184380531,0.009573860093951225,0.04209677502512932,0.009412681683897972,5
ExpC,0,3,0.04849940538406372,0.00572061724960804,0.04769685119390488,0.00631069066002965,5
ExpC,0,4,0.04285160452127457,0.018045589327812195,0.04250679165124893,0.01815153658390045,5
ExpC,0,5,0.0416097417473793,0.004865298978984356,0.041620828211307526,0.005117002408951521,5
ExpC,0,6,0.03801831603050232,0.00559562724083662,0.03832809999585152,0.005614960100501776,5
ExpC,0,7,0.030463000759482384,0.0021057683043181896,0.03048083558678627,0.0018635966116562486,5
ExpC,0,8,0.02997358702123165,0.0024408360477536917,0.02979370951652527,0.0024252221919596195,5
ExpC,0,9,0.03285311907529831,0.0044259787537157536,0.03266597539186478,0.004308676812797785,5
ExpC,0,10,0.039662916213274,0.009304892271757126,0.03981287032365799,0.009454573504626751,5
ExpC,0,11,0.032668162137269974,0.005462099798023701,0.03283469006419182,0.005481722764670849,5
ExpC,0,12,0.039056144654750824,0.003929795231670141,0.03903193026781082,0.004010391887277365,5
ExpC,0,13,0.03745439648628235,0.002547261770814657,0.03740306943655014,0.002699594246223569,5
ExpC,0,14,0.038037315011024475,0.0034682275727391243,0.03838757053017616,0.0036106249317526817,5
ExpC,0,15,0.04409392923116684,0.008642015047371387,0.0444125272333622,0.00878023449331522,5
ExpC,0,16,0.03976701200008392,0.006760704331099987,0.03996364772319794,0.00674988841637969,5
ExpC,0,17,0.034034617245197296,0.004319455940276384,0.03421846777200699,0.0043759942054748535,5
ExpC,0,18,0.034028518944978714,0.0035557791125029325,0.034182850271463394,0.003648634534329176,5
ExpC,0,19,0.03150353953242302,0.0055610546842217445,0.0314876027405262,0.005508819594979286,5
ExpC,0,20,0.028284993022680283,0.003424628172069788,0.028275664895772934,0.0033000449184328318,5
