model,layer,patch,ctrl_mean,ctrl_std,adhd_mean,adhd_std,n_seeds,protocol
ExpB,1,23,0.15872332453727722,0.03433924540877342,0.1031445786356926,0.010163948871195316,3,LOSO_full
ExpC,0,0,0.07007309049367905,0.016506431624293327,0.07690619677305222,0.020159142091870308,3,LOSO_full
ExpC,0,1,0.05294051766395569,0.012366781011223793,0.05342118814587593,0.0014614637475460768,3,LOSO_full
ExpC,0,2,0.03868083655834198,0.003996964544057846,0.041693951934576035,0.0034836563281714916,3,LOSO_full
ExpC,0,3,0.042856667190790176,0.007416991051286459,0.04271206259727478,0.003874484682455659,3,LOSO_full
ExpC,0,4,0.030728287994861603,0.005971415899693966,0.030163394287228584,0.00349644897505641,3,LOSO_full
ExpC,0,5,0.03556773066520691,0.005270996131002903,0.03587093949317932,0.0041833361610770226,3,LOSO_full
ExpC,0,6,0.03904419019818306,0.003649709513410926,0.03907068073749542,0.0044766939245164394,3,LOSO_full
ExpC,0,7,0.029951296746730804,0.005667003802955151,0.03269420936703682,0.003871105844154954,3,LOSO_full
ExpC,0,8,0.027828076854348183,0.0037136345636099577,0.029050655663013458,0.0032343638595193624,3,LOSO_full
ExpC,0,9,0.03222089260816574,0.006375941447913647,0.03358355537056923,0.004061251878738403,3,LOSO_full
ExpC,0,10,0.038638144731521606,0.004336495418101549,0.03910166397690773,0.00260994047857821,3,LOSO_full
ExpC,0,11,0.03966740891337395,0.005733365658670664,0.039590198546648026,0.005422618705779314,3,LOSO_full
ExpC,0,12,0.043307606130838394,0.00210564979352057,0.04052886739373207,0.0016146705020219088,3,LOSO_full
ExpC,0,13,0.04315847158432007,0.0023877520579844713,0.04169638082385063,0.0005086997989565134,3,LOSO_full
ExpC,0,14,0.05112101137638092,0.012712894938886166,0.05197395756840706,0.009773492813110352,3,LOSO_full
ExpC,0,15,0.049772754311561584,0.006834499537944794,0.04710502550005913,0.005574115086346865,3,LOSO_full
ExpC,0,16,0.04535917565226555,0.0015487510245293379,0.0411158911883831,0.0008186287013813853,3,LOSO_full
ExpC,0,17,0.04552837088704109,0.011333462782204151,0.04053303226828575,0.006454740650951862,3,LOSO_full
ExpC,0,18,0.0406123511493206,0.0012740419479086995,0.04031238332390785,0.002621374325826764,3,LOSO_full
